"RentTotal" "SqftLease" "Renovation" "Leaselength" "Age" "DistCity" "DistAirport" "DriveAirp" "Location" "Occupancy" "FloorBldg" "SqftFloor" "Elevator" "Restaurant" "Wiring" "Exercise" "DistHosp" "FirmType" "FloorLease" "Renewable" "Parking"
167026 6882.45 52 3 52 0.52 14.13 25.6 "CITY" 0.82 26 34791.12 5 "YES" "NO" "NO" 0.69 "BUS." 13 "NO" 0
292831 12570.18 25 8 25 3.33 11.31 12.84 "SUBNEW" 0.71 12 39659.43 6 "NO" "NO" "NO" 1.02 "LEGAL" 12 "NO" 0
212121 11394.86 15 9 15 4.78 10.67 16.34 "SUBNEW" 0.91 9 24936.61 5 "NO" "NO" "NO" 0.64 "BUS." 7 "NO" 0
119291 4944.77 8 5 21 5.07 13.34 26.55 "SUBNEW" 0.81 17 43709.41 6 "NO" "NO" "NO" 2 "DOCTOR" 2 "NO" 0
571195 21427.55 29 8 29 0.74 13.68 23.38 "CITY" 0.86 34 40953.67 8 "NO" "NO" "NO" 0.2 "GOVT" 31 "YES" 3
487294 19873.92 9 3 9 3.73 12.09 18.11 "SUBNEW" 0.95 14 38610.02 7 "NO" "NO" "NO" 1.86 "BUS." 1 "NO" 3
478619 19429.69 37 4 64 0.56 13.98 24.06 "CITY" 0.99 26 21761.01 5 "NO" "NO" "NO" 0.32 "LEGAL" 26 "NO" 0
228834 8804.3 3 5 3 2.21 12.37 17.31 "SUBNEW" 0.88 14 29294.18 7 "NO" "YES" "NO" 0.7 "OTHER" 1 "NO" 0
1004620 36110.38 71 3 71 1.31 15.72 31.01 "CITY" 0.97 4 22624.29 2 "NO" "NO" "NO" 0.43 "BUS." 3 "NO" 6
300256 13250.7 17 3 17 3.37 17.51 37.63 "SUBOLD" 0.78 10 8374.78 5 "YES" "NO" "NO" 0.8 "BUS." 2 "YES" 2
59719 3586.46 34 7 47 2.99 16.2 32.53 "SUBOLD" 0.99 10 39681.57 3 "NO" "NO" "NO" 1.78 "DOCTOR" 2 "NO" 0
607554 24775.08 7 5 7 3.1 11.46 13.76 "SUBNEW" 0.81 22 59621.21 8 "NO" "YES" "NO" 0.72 "BUS." 20 "NO" 2
2433908 94978.98 30 6 30 4.54 11.17 17.14 "SUBNEW" 0.78 17 43176.94 5 "YES" "NO" "NO" 0.89 "BUS." 13 "NO" 8
129067 5311.95 46 3 46 0.65 13.79 23.55 "CITY" 0.87 30 29015.77 6 "NO" "NO" "NO" 0.05 "LEGAL" 27 "NO" 1
524617 22914.99 16 8 16 6.33 19.45 46.12 "SUBOLD" 0.94 15 35417.82 5 "NO" "NO" "NO" 2.51 "LEGAL" 11 "NO" 2
648771 29518.45 3 6 35 2.08 15.23 28.52 "SUBOLD" 0.61 7 22785.46 4 "NO" "NO" "NO" 1.78 "BUS." 5 "NO" 3
1515785 62147.18 10 3 42 2.64 15.92 31.35 "SUBOLD" 0.98 8 20268.61 3 "NO" "NO" "NO" 2 "BUS." 1 "NO" 0
6473 219.75 1 3 12 1.63 15.82 30.97 "SUBOLD" 0.98 6 24742.59 3 "YES" "NO" "YES" 1.14 "DOCTOR" 2 "NO" 0
1754260 56683.41 12 3 12 1.21 15.2 28.47 "CITY" 0.96 64 32293.59 10 "NO" "NO" "NO" 1.23 "BUS." 32 "NO" 8
276008 10734.18 11 4 49 0.32 14.1 24.94 "CITY" 0.8 20 31749.11 5 "NO" "YES" "NO" 0.41 "LEGAL" 15 "NO" 0
246384 13206.56 6 10 19 5.69 10.06 19.25 "SUBNEW" 0.71 15 44313.65 6 "NO" "NO" "NO" 0.39 "GOVT" 12 "NO" 0
189226 9464.63 0 8 0 2.82 12.4 17.47 "SUBNEW" 0.89 9 10525.86 6 "YES" "NO" "YES" 1.65 "BUS." 5 "NO" 0
221088 8508.74 21 7 43 1.15 14.96 29.51 "CITY" 0.95 36 45956.34 7 "NO" "NO" "NO" 0.88 "DOCTOR" 5 "NO" 2
482888 23270.4 14 10 14 4.15 10.76 12.79 "SUBNEW" 0.9 10 36074.19 6 "YES" "NO" "NO" 1.51 "LEGAL" 5 "NO" 0
304100 11766.77 47 8 47 0.52 14.92 28.18 "CITY" 0.96 28 15548.82 5 "NO" "NO" "NO" 0.62 "DOCTOR" 17 "NO" 1
104240 4554.45 2 8 2 3.48 13.87 24.78 "SUBNEW" 0.89 20 45381.51 8 "YES" "NO" "YES" 0.4 "OTHER" 1 "NO" 0
168103 8153.81 23 9 23 2.12 12.75 18.57 "SUBNEW" 0.76 17 42143.34 6 "NO" "NO" "NO" 1.3 "GOVT" 4 "NO" 0
1033280 44656.96 26 3 26 2.06 15.16 28.26 "SUBOLD" 0.88 11 34709.23 5 "NO" "NO" "NO" 1.73 "BUS." 9 "NO" 3
27984 1238.88 14 10 14 6.26 19.89 47.38 "SUBOLD" 0.98 7 5207.67 9 "NO" "NO" "NO" 2.26 "LEGAL" 7 "NO" 0
1193015 40668.19 5 4 42 0.6 15.01 28.53 "CITY" 0.9 29 7864.37 4 "YES" "YES" "YES" 0.53 "BUS." 14 "NO" 2
117679 4797.07 52 3 64 0.62 13.81 23.91 "CITY" 0.94 13 22766.34 4 "NO" "NO" "NO" 0.25 "BUS." 13 "NO" 0
328500 12581.93 23 5 72 0.2 14.22 25.32 "CITY" 0.94 11 22923.97 4 "NO" "NO" "NO" 0.5 "LEGAL" 9 "NO" 0
261112 11229.34 40 5 40 0.71 13.74 23.28 "CITY" 0.83 35 40778.21 8 "NO" "NO" "NO" 0.09 "OTHER" 27 "YES" 2
31243 1259.42 4 7 4 0.78 14.4 25.35 "CITY" 0.91 71 47143.67 12 "YES" "YES" "YES" 0.91 "LEGAL" 66 "NO" 0
1931098 67428.69 1 7 12 2 14.08 24 "SUBNEW" 0.95 19 42651.48 6 "YES" "NO" "YES" 1.28 "BUS." 8 "NO" 7
474733 21863.41 9 3 9 2.06 16.46 34.32 "SUBOLD" 0.6 13 27501.91 5 "YES" "NO" "YES" 0.93 "BUS." 4 "NO" 1
1098848 47761.76 11 5 11 4.59 18.3 40.89 "SUBOLD" 0.69 11 27914.97 5 "YES" "NO" "NO" 0.64 "GOVT" 3 "NO" 7
352016 16727.11 27 10 27 1.06 15.48 30.29 "CITY" 0.87 58 25647.85 9 "YES" "NO" "NO" 0.13 "GOVT" 9 "YES" 0
960134 38438.64 6 3 19 5.99 9.92 20.43 "SUBNEW" 0.88 11 36614.48 4 "NO" "NO" "NO" 0.63 "BUS." 10 "NO" 4
523217 24674.45 14 9 14 5.34 11.07 20.5 "SUBNEW" 0.79 17 44933.55 8 "NO" "NO" "NO" 0.73 "GOVT" 5 "NO" 0
1298517 63678.87 0 7 0 5.11 19.09 43.96 "SUBOLD" 0.54 10 29511.93 4 "NO" "NO" "NO" 1.21 "LEGAL" 4 "NO" 0
857079 37561.05 17 10 17 0.93 15.35 29.76 "CITY" 0.98 59 40937.69 10 "YES" "NO" "NO" 0.25 "LEGAL" 39 "NO" 0
408254 17972.71 1 4 20 5.26 12.9 25.78 "SUBNEW" 0.91 12 32691.56 3 "NO" "YES" "NO" 2.33 "LEGAL" 8 "NO" 0
75457 4139.03 48 7 48 4.94 19.17 44.27 "SUBOLD" 0.79 12 48592.46 5 "NO" "NO" "NO" 1.5 "BUS." 6 "NO" 0
245781 12374.67 1 7 1 2.82 11.62 15.5 "SUBNEW" 0.73 13 43590.79 6 "YES" "NO" "YES" 0.26 "LEGAL" 11 "NO" 0
164129 9170.54 1 10 31 5.14 18.56 42.15 "SUBOLD" 0.96 14 22172.65 3 "YES" "NO" "YES" 1.32 "LEGAL" 13 "NO" 0
318475 13913.72 12 4 12 2.77 13.57 22.54 "SUBNEW" 0.86 22 54923.25 7 "NO" "NO" "NO" 0.85 "BUS." 17 "NO" 0
148549 6261.86 20 3 20 3.85 13.74 24.97 "SUBNEW" 0.69 27 48618.73 4 "NO" "NO" "NO" 0.75 "BUS." 10 "NO" 0
995733 41850.71 13 3 13 4.24 12.38 20.92 "SUBNEW" 0.81 27 46803.54 7 "NO" "NO" "NO" 1.95 "BUS." 23 "NO" 0
